address,Batch,Number of PPs
0x625c2020E8b66D624d04aFe687B4fE7b05B601AF,3,1
0x9c4b88fBE06b6B1E461d9D294ecB7FB0c841dB4f,3,1
0xec8e3A07d6c5c172e821588EF1749b739A06b20E,3,1
0xbC4F95C879dED0a259188B42F3567F4e01dcb619,3,1
0xC94A5180e638d1704EEACCc3DF08Fa0982Bd7ac9,3,1
0x17451598Bf282dA2367E3FD1823F871f4b42B9F9,3,1
0xd36d6C7e44C0c4479DD7E48097Fa897E35c5Eddb,3,1
0x156F25C6dAFc2628B3C0F4d6Aed4057CEF5358d3,3,1
0xEB4652163f76430a369977C33c4C6570aC1CB084,3,1
0xAb1d7D0eD74f6C513915F4368B734bB3C456c958,3,1
0xAb1d7D0eD74f6C513915F4368B734bB3C456c958,4,1
0xAb1d7D0eD74f6C513915F4368B734bB3C456c958,5,1
0xAb1d7D0eD74f6C513915F4368B734bB3C456c958,6,1
0xEb332A4448352582c90d3962012C06d77e69586D,3,1
0xEb332A4448352582c90d3962012C06d77e69586D,4,1
0x24e32bB964721dFAC9DEE9E9FF71Ac476652E8eF,4,1
0x421A8C6b67b3296686e97234f70CE15F06E1bF7B,4,1
0xc1943E61d362A17fc6100908d16fAfD5348B376a,4,1
0x0BdA0F33311E65379461D0A555BbD7669c0eaA22,4,1
0x1A8d83Ec4b1DA292F1075a8C81b50A8948fCcA28,4,1
0x5B3067C5e26fEC823d6fBf8F315e43632658D2F6,4,3
0xd17df77E701fA098835a34dCC79ff6da0b07a3e0,5,1
0x7ACEB8Ec7232452c67e6dDD0737805d6875c26c0,5,2
0x1a3B3B326850E3b0d1cbe6f93ba732021E243EDD,5,1
0x1563C4751Ad2be48Fd17464B73585B6ba8b6A5f0,5,1
0x0492A80d26Ed93742F2a0b67600A774c7cC1A22e,5,1
0xfE297522323DB0DFbe9b2889BD7a9f2E607120b9,5,1
0xAB031dD0A55058794DCa22b01941eF9A299176c1,5,1
0x91f4e48384F775B819C77C4901Db6CA6e2E92B80,5,2
0x1B0A9fc38bc94B34F510aD93Eb341A0AC021da93,5,1
0x76E22aae8dAbEF47Fc9049522C8c24a4eeF451DE,5,1
0x3fBd3df54ece58BE3719647C9e5BCA719Ae5CbC4,6,1
