name,number,image,date,Batch,Type,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #591,591,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/591.png,1653676657762,4,Common,72.52556983442186,0,Light_Blue,9.494623655913978,Base_Grey,6.844961240310077,Regular_Pirate_Suit_Purple_And_Orange,7.178861788617887,Bottle_Ship_Necklace_Silver,3.396153846153846,Eye_Patch,2.011389521640091,Long_Beard_Black,7.120967741935483,Ginger_Hair,7.420168067226891,Pirate_Hat_Luminous,7.064,Sword,6.952755905511811,Corgi_Dog,13.37878787878788,Regular_Smile,1.6629001883239172,1656374400,0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5
Pixel Pirates #592,592,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/592.png,1653676750675,4,Common,76.18276878733968,0,Grey,11.177215189873415,Base_Green,6.844961240310077,Regular_Pirate_Suit_Red_And_Luminous_,6.740458015267176,None,1.5545774647887325,Eye_Patch,2.011389521640091,Stubble_Black,8.490384615384615,White_Hair,6.54074074074074,Pirate_Hat_Pink,7.547008547008547,Sword,6.952755905511811,Corgi_Dog_Tri_Colour_No_Tail,16.660377358490567,Regular_Smile,1.6629001883239172,1656374400,0x24e32bB964721dFAC9DEE9E9FF71Ac476652E8eF
Pixel Pirates #593,593,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/593.png,1653676790704,4,Common,66.73526890619222,0,Plue,10.76829268292683,Base_Red,6.174825174825174,Regular_Pirate_Suit_Red_And_Luminous_,6.740458015267176,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard,7.678260869565218,Sparrow_Hair_White,7.814159292035398,Pirate_Hat_Orange,8.742574257425742,None,6.898437499999999,None,6.6893939393939394,Regular_Smile,1.6629001883239172,1656374400,0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd
Pixel Pirates #594,594,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/594.png,1653676857906,4,Common,68.79228253491186,0,Light_Red,10.638554216867467,Base_Green,6.844961240310077,Regular_Pirate_Suit_Red_And_Luminous_,6.740458015267176,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard,7.678260869565218,Black_Hair,7.064,Pirate_Hat_Purple,8.100917431192661,None,6.898437499999999,Parrot_Green,9.597826086956522,Regular_Smile,1.6629001883239172,1656374400,0xD3d20F2D89922311F87Cd954691102f475833770
Pixel Pirates #595,595,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/595.png,1653676858417,4,Specials,3653.9067044986673,2000,Black_Fire,176.6,Base_Satan,176.6,Complete_Tattoo,882.9999999999999,Bottle_Ship_Necklace_Gold,16.35185185185185,None,2.2130325814536342,None,6.844961240310077,None,63.07142857142858,Bandana_Hat_Green,18.39583333333333,None,6.898437499999999,Parrot_Green,9.597826086956522,Smoking_Pipe,294.3333333333333,1656374400,0xB513cBaEF08372756b492d470B3fCA967EC93F56
Pixel Pirates #596,596,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/596.png,1653677374358,4,Common,87.2043034943989,0,Light_Yellow,10.149425287356324,Base_Green,6.844961240310077,Regular_Pirate_Suit_Purple_And_Orange,7.178861788617887,Bottle_Ship_Necklace_Silver,3.396153846153846,None,2.2130325814536342,Long_Beard,7.678260869565218,Ginger_Hair,7.420168067226891,Pirate_Hat_Orange,8.742574257425742,Gun_Gold,25.228571428571428,None,6.6893939393939394,Regular_Smile,1.6629001883239172,1656374400,0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9
Pixel Pirates #597,597,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/597.png,1653677427276,4,Common,87.98506731515764,0,Plue,10.76829268292683,Base_Grey,6.844961240310077,Regular_Pirate_Suit_Purple_And_Orange,7.178861788617887,None,1.5545774647887325,Eye_Patch,2.011389521640091,Stubble_Black,8.490384615384615,White_Hair,6.54074074074074,None,4.932960893854749,Whisky_Bottle,12.614285714285714,Parrot_Yellow,10.388235294117647,Gold_Teeth,16.660377358490567,1656374400,0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9
Pixel Pirates #598,598,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/598.png,1653677480578,4,Common,72.00993044471997,0,Purple,10.76829268292683,Base_Blue,6.307142857142857,Regular_Pirate_Suit,6.445255474452555,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard_Ginger,9.494623655913978,Sparrow_Hair,8.83,Pirate_Hat_Orange,8.742574257425742,None,6.898437499999999,Parrot,9.294736842105264,Regular_Smile,1.6629001883239172,1656374400,0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9
Pixel Pirates #599,599,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/599.png,1653677520421,4,Common,61.49453252128976,0,Light_Blue,9.494623655913978,Base,5.553459119496855,None,6.307142857142857,None,1.5545774647887325,None,2.2130325814536342,None,6.844961240310077,White_Hair,6.54074074074074,None,4.932960893854749,Hook_Hand,6.792307692307692,Parrot_Green,9.597826086956522,Regular_Smile,1.6629001883239172,1656374400,0x00aB97c782c661fb3D08C96dce06176938101211
Pixel Pirates #600,600,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/600.png,1653677534095,4,Common,81.86167460262779,0,Light_Luminous_,8.742574257425742,Base_Pink,5.886666666666667,Chest_Tattoo,20.53488372093023,Bottle_Ship_Necklace_Silver,3.396153846153846,None,2.2130325814536342,None,6.844961240310077,Ginger_Hair,7.420168067226891,Pirate_Hat_Orange,8.742574257425742,Hook_Hand,6.792307692307692,None,6.6893939393939394,Silver_Teeth,4.598958333333333,1656374400,0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9
