id,address,tokenId,addresses,tokenIds,amountBatches,seller,vault,sold,startTime,endTime,cancelled,isAuction,isFlashAuction,isAntisnipe,maxBid,maxBidder,maxOffer,maxOfferer,amount,amountRemaining,desiredAmountRemaining,complete,price,isERC721s,isNSFW,version,nextMinimum,custom1,custom2,userSupplyValid,minBid,minOffer,isERC721,contractVerified,subgraphIndex,approvalState,contentVerified,isFNFT,nft.id,nft.address,nft.tokenId,nft.createdBlockNumber,nft.chainId,nft.num,nft.hasMetadata,nft.hasOptimizedImage,nft.metadataAttempts,nft.optimizationAttempts,nft.created_at,nft.updated_at,nft.image,nft.external_uri,nft.tokenURI,nft.manifestHash,nft.name,nft.description,nft.attributes,nft.isBase64,nft.origImage,nft.mimeType,nft.extra,nft.thumbnail,nft.metadataHash,nft.snapshot,nft.rarity.score,nft.rarity.total,nft.rarity.rank,nft.rarity.calculated_at,nft.contractVerified,nft.contentVerified,number,image,Batch,Type,Total Score,Rarity Score / FTM
305586,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,724,['0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351'],['724'],['1'],0xef4762e55ed28e8d817d35c4d69b923daa2c5ee3,,True,1660324142,2022-08-13,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,100.0,[True],False,3,0,0,0,True,1,1,True,False,0,approve,True,True,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_724,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,724,40225852,250,0,True,True,0,0,1654884456177,1660507030103,https://media-nft.paintswap.finance/250_0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_724.png,https://hedgey.finance,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/724,3fe32b8e68cfa0f0016ccd291c16186b,Pixel Pirates #724,"This NFT represents a locked amount of tokens, redeemable after the unlock date.

 The token locked is: [cLQDR](https://ftmscan.com/token/0x814c66594a22404e101fecfecac1012d8d75c156)

 Tokens Locked: 1

 Unlock Date: Jul 11, 2022","[{'average': '0.09698', 'count': 93, 'value': 'Light_Blue', 'trait_type': 'Background', 'frequency': 9.69760166840459}, {'average': '0.15641', 'count': 150, 'value': 'Base_Pink', 'trait_type': 'Base', 'frequency': 15.641293013555787}, {'average': '0.13556', 'count': 130, 'value': 'Regular_Pirate_Suit_Blue_And_Blue', 'trait_type': 'Outfit', 'frequency': 13.555787278415016}, {'average': '0.59124', 'count': 567, 'value': 'None', 'trait_type': 'Necklace', 'frequency': 59.12408759124088}, {'average': '0.41606', 'count': 399, 'value': 'None', 'trait_type': 'Eye', 'frequency': 41.605839416058394}, {'average': '0.10845', 'count': 104, 'value': 'Stubble_Black', 'trait_type': 'Beard', 'frequency': 10.844629822732013}, {'average': '0.10428', 'count': 100, 'value': 'Sparrow_Hair', 'trait_type': 'Hair', 'frequency': 10.427528675703858}, {'average': '0.11366', 'count': 109, 'value': 'Pirate_Hat_Purple', 'trait_type': 'Hat', 'frequency': 11.366006256517206}, {'average': '0.13347', 'count': 128, 'value': 'None', 'trait_type': 'Hand Accessories', 'frequency': 13.347236704900938}, {'average': '0.04171', 'count': 40, 'value': 'Penguin', 'trait_type': 'Shoulder', 'frequency': 4.171011470281543}, {'average': '0.09593', 'count': 92, 'value': 'Smoke_Pipe', 'trait_type': 'Mouth', 'frequency': 9.593326381647548}, {'average': '0.92179', 'count': 884, 'value': 'CLQDR: 0x814c66594a22404e101fecfecac1012d8d75c156', 'trait_type': 'Token_Collateral', 'frequency': 92.17935349322211}, {'average': '0.91971', 'count': 882, 'value': '1 CLQDR', 'trait_type': 'Tokens_Locked', 'frequency': 91.97080291970804}, {'average': '0.13034', 'count': 125, 'value': '1657497600', 'trait_type': 'Unlock_Date', 'frequency': 13.034410844629823}, {'average': '0.91971', 'count': 882, 'value': '14', 'trait_type': 'Attributes Count', 'frequency': 91.97080291970804}]",False,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/724.png,image/png,,https://media-nft.paintswap.finance/250_0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_724_thumb.png,2a39ef9e1454422469b182d78a5a0006,,13.811033599510427,959,313,1660507030092,False,True,724,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/724.png width=""100"">",5,Common,89.9337736946645,0.899337736946645
305585,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,719,['0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351'],['719'],['1'],0xef4762e55ed28e8d817d35c4d69b923daa2c5ee3,,True,1660324142,2022-08-13,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,100.0,[True],False,3,0,0,0,True,1,1,True,False,1,approve,True,True,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_719,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,719,40225835,250,0,True,True,0,0,1654884449819,1660507030103,https://media-nft.paintswap.finance/250_0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_719.png,https://hedgey.finance,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/719,aa9b5bb5b1ec1d89b412f6ffba5db776,Pixel Pirates #719,"This NFT represents a locked amount of tokens, redeemable after the unlock date.

 The token locked is: [cLQDR](https://ftmscan.com/token/0x814c66594a22404e101fecfecac1012d8d75c156)

 Tokens Locked: 1

 Unlock Date: Jul 11, 2022","[{'average': '0.09072', 'count': 87, 'value': 'Light_Yellow', 'trait_type': 'Background', 'frequency': 9.071949947862358}, {'average': '0.13452', 'count': 129, 'value': 'Base_Green', 'trait_type': 'Base', 'frequency': 13.451511991657977}, {'average': '0.13556', 'count': 130, 'value': 'Regular_Pirate_Suit_Blue_And_Blue', 'trait_type': 'Outfit', 'frequency': 13.555787278415016}, {'average': '0.59124', 'count': 567, 'value': 'None', 'trait_type': 'Necklace', 'frequency': 59.12408759124088}, {'average': '0.45673', 'count': 438, 'value': 'Eye_Patch', 'trait_type': 'Eye', 'frequency': 45.6725755995829}, {'average': '0.10428', 'count': 100, 'value': 'Goatee', 'trait_type': 'Beard', 'frequency': 10.427528675703858}, {'average': '0.11679', 'count': 112, 'value': 'Sparrow_Hair_White', 'trait_type': 'Hair', 'frequency': 11.678832116788321}, {'average': '0.05005', 'count': 48, 'value': 'Bandana_Hat_Green', 'trait_type': 'Hat', 'frequency': 5.005213764337852}, {'average': '0.13556', 'count': 130, 'value': 'Hook_Hand', 'trait_type': 'Hand Accessories', 'frequency': 13.555787278415016}, {'average': '0.05527', 'count': 53, 'value': 'Corgi_Dog_Tri_Colour_No_Tail', 'trait_type': 'Shoulder', 'frequency': 5.526590198123045}, {'average': '0.55266', 'count': 530, 'value': 'Regular_Smile', 'trait_type': 'Mouth', 'frequency': 55.26590198123045}, {'average': '0.92179', 'count': 884, 'value': 'CLQDR: 0x814c66594a22404e101fecfecac1012d8d75c156', 'trait_type': 'Token_Collateral', 'frequency': 92.17935349322211}, {'average': '0.91971', 'count': 882, 'value': '1 CLQDR', 'trait_type': 'Tokens_Locked', 'frequency': 91.97080291970804}, {'average': '0.13034', 'count': 125, 'value': '1657497600', 'trait_type': 'Unlock_Date', 'frequency': 13.034410844629823}, {'average': '0.91971', 'count': 882, 'value': '14', 'trait_type': 'Attributes Count', 'frequency': 91.97080291970804}]",False,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/719.png,image/png,,https://media-nft.paintswap.finance/250_0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351_719_thumb.png,134930848ef53b8e3a31559eae3b53d3,,14.143113450607425,959,356,1660507030097,False,True,719,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/719.png width=""100"">",5,Common,87.50823907089381,0.8750823907089381
